GEO/PHYSACT,Walking to get to and from place,Cycling to get to and from place,Aerobic sports,Muscle-strengthening,Gender,Age
Poland,84.9,28.5,25.0,10.5,male,40
Portugal,54.6,12.0,43.8,19.8,male,40
Romania,99.4,17.0,5.5,2.4,male,40
Slovenia,81.0,44.3,63.6,39.5,male,40
Slovakia,86.0,38.5,40.6,19.9,male,40
Finland,77.8,25.7,74.4,48.0,male,40
Sweden,78.0,33.1,73.2,51.6,male,40
United Kingdom,72.7,15.7,66.7,34.9,male,40
Iceland,50.8,17.5,69.1,55.1,male,40
Norway,63.9,32.3,72.2,31.0,male,40
Turkey,79.6,7.4,8.6,4.3,male,40
Belgium,0,0,0,0,male,50
Bulgaria,93.7,13.6,9.2,11.0,male,50
Czech Republic,88.6,36.8,29.0,12.3,male,50
Denmark,77.6,42.4,68.1,40.7,male,50
Germany (until 1990 former territory of the FRG),74.7,35.4,61.9,35.9,male,50
Estonia,74.9,26.1,30.5,12.5,male,50
Ireland,84.9,19.9,42.8,26.2,male,50
Greece,80.2,8.0,18.0,11.8,male,50
Spain,79.6,13.6,46.9,13.5,male,50
France,62.6,14.2,49.0,18.0,male,50
Croatia,83.8,32.2,19.4,9.2,male,50
Italy,74.8,21.3,29.0,15.7,male,50
Cyprus,11.1,2.8,41.4,7.2,male,50
Latvia,86.1,21.8,32.5,20.3,male,50
Lithuania,69.6,20.8,16.4,9.7,male,50
Luxembourg,83.6,24.1,62.3,32.5,male,50
Hungary,86.4,47.1,26.2,17.0,male,50
Malta,69.7,3.3,48.2,5.6,male,50
Austria,74.6,25.2,67.8,38.1,male,50
Poland,83.6,29.1,14.0,3.1,male,50
Portugal,56.3,9.5,31.3,8.8,male,50
Romania,99.8,20.0,2.3,0.7,male,50
Slovenia,80.8,40.5,53.9,34.9,male,50
Slovakia,87.7,36.2,29.0,13.8,male,50
Finland,75.0,24.5,72.6,46.4,male,50
Sweden,79.4,31.5,71.6,48.8,male,50
United Kingdom,65.5,15.3,62.0,26.3,male,50
Iceland,49.9,17.2,67.1,46.0,male,50
Norway,57.3,33.2,70.4,28.1,male,50
Turkey,80.0,7.8,5.6,2.3,male,50
Belgium,0,0,0,0,male,60
Bulgaria,90.4,12.0,2.9,4.1,male,60
Czech Republic,90.0,35.7,18.4,10.2,male,60
Denmark,77.4,40.0,65.3,35.6,male,60
Germany (until 1990 former territory of the FRG),76.4,34.4,61.3,38.9,male,60
Estonia,75.2,26.7,24.0,9.1,male,60
Ireland,86.4,15.5,30.1,21.2,male,60
Greece,85.5,4.9,16.5,4.7,male,60
Spain,81.6,9.5,39.8,9.3,male,60
France,78.2,19.5,48.2,17.3,male,60
Croatia,84.1,28.7,13.9,4.2,male,60
Italy,77.2,20.9,20.5,9.4,male,60
Cyprus,14.5,1.5,37.2,2.3,male,60
Latvia,86.9,21.5,25.7,16.0,male,60
Lithuania,71.5,22.5,7.9,6.7,male,60
Luxembourg,89.3,20.9,61.2,30.3,male,60
Hungary,80.3,43.2,20.0,13.1,male,60
Malta,68.0,2.5,53.5,3.0,male,60
Austria,77.2,28.1,69.0,39.4,male,60
Poland,85.4,28.4,10.3,2.9,male,60
Portugal,58.5,7.9,29.7,9.1,male,60
Romania,99.3,13.8,1.0,0.3,male,60
Slovenia,83.8,31.3,45.6,24.8,male,60
Slovakia,88.2,31.3,19.5,6.2,male,60
Finland,81.5,22.9,71.0,42.3,male,60
Sweden,80.9,31.3,69.1,41.7,male,60
United Kingdom,64.9,8.9,53.7,22.6,male,60
Iceland,51.5,11.3,62.2,43.8,male,60
Norway,62.3,28.6,70.6,22.8,male,60
Turkey,82.3,5.2,3.9,0.9,male,60
Belgium,0,0,0,0,male,70
Bulgaria,87.2,11.4,2.3,2.4,male,70
Czech Republic,90.0,29.0,12.4,7.8,male,70
Denmark,81.0,45.7,68.2,44.0,male,70
Germany (until 1990 former territory of the FRG),83.5,40.3,63.7,40.7,male,70
Estonia,73.7,18.5,17.3,6.6,male,70
Ireland,86.5,10.9,26.4,20.3,male,70
Greece,81.0,4.7,11.0,2.1,male,70
Spain,85.3,7.4,39.6,7.8,male,70
France,81.9,20.0,46.5,13.8,male,70
Croatia,81.6,23.6,14.0,2.6,male,70
Italy,79.0,19.3,14.6,7.8,male,70
Cyprus,20.0,2.5,47.4,2.2,male,70
Latvia,88.8,21.7,26.8,14.5,male,70
Lithuania,75.4,19.9,7.9,5.9,male,70
Luxembourg,89.3,21.0,56.9,30.1,male,70
Hungary,77.7,38.4,16.6,11.5,male,70
Malta,77.8,3.2,49.3,1.7,male,70
Austria,83.1,34.1,69.2,41.7,male,70
Poland,80.5,30.0,10.0,0.7,male,70
Portugal,67.0,6.3,26.6,4.4,male,70
Romania,98.0,13.6,0.5,0.1,male,70
Slovenia,80.9,31.4,42.0,26.5,male,70
Slovakia,86.9,28.6,8.4,2.6,male,70
Finland,87.1,25.2,71.3,45.1,male,70
Sweden,83.6,37.0,69.1,48.7,male,70
United Kingdom,73.3,7.0,55.1,19.8,male,70
Iceland,48.6,12.3,60.3,42.2,male,70
Norway,69.0,23.9,66.2,20.3,male,70
Turkey,76.7,6.2,3.4,0.8,male,70
Belgium,0,0,0,0,female,17
Bulgaria,97.9,28.6,36.0,32.5,female,17
Czech Republic,99.4,53.5,68.3,37.8,female,17
Denmark,84.3,56.5,82.8,64.6,female,17
Germany (until 1990 former territory of the FRG),85.0,38.0,82.1,56.9,female,17
Estonia,89.7,41.6,61.2,25.0,female,17
Ireland,95.8,2.2,65.0,47.8,female,17
Greece,87.9,13.1,35.2,16.6,female,17
Spain,90.6,7.5,54.8,14.3,female,17
France,80.8,7.3,74.1,38.7,female,17
Croatia,95.6,54.1,30.8,12.1,female,17
Italy,80.5,18.0,40.4,21.2,female,17
Cyprus,23.8,0.7,40.0,7.3,female,17
Latvia,97.3,49.2,73.6,42.3,female,17
Lithuania,94.1,29.6,71.1,30.8,female,17
Luxembourg,98.5,18.7,88.3,47.1,female,17
Hungary,99.4,39.8,67.2,51.9,female,17
Malta,80.3,0.5,49.0,3.8,female,17
Austria,85.0,19.4,84.0,52.9,female,17
Poland,91.6,39.5,40.8,11.4,female,17
Portugal,81.0,7.1,68.7,21.2,female,17
Romania,99.6,25.3,17.0,3.0,female,17
Slovenia,96.1,51.1,78.7,61.3,female,17
Slovakia,96.9,43.9,67.3,24.7,female,17
Finland,89.7,32.3,79.8,66.8,female,17
Sweden,87.0,39.3,85.0,66.7,female,17
United Kingdom,86.8,4.6,65.4,38.7,female,17
Iceland,77.2,16.4,86.4,80.1,female,17
Norway,85.4,35.6,81.5,69.8,female,17
Turkey,79.6,7.7,5.2,1.4,female,17
Belgium,0,0,0,0,female,22
Bulgaria,95.5,4.3,24.0,22.5,female,22
Czech Republic,98.4,42.5,62.9,24.2,female,22
Denmark,88.6,64.9,83.8,58.7,female,22
Germany (until 1990 former territory of the FRG),81.7,30.0,72.5,54.1,female,22
Estonia,91.8,26.7,53.7,27.4,female,22
Ireland,92.0,5.8,60.2,37.4,female,22
Greece,87.8,21.9,46.1,24.0,female,22
Spain,89.1,10.9,49.3,21.4,female,22
France,70.4,7.0,47.9,30.4,female,22
Croatia,93.8,47.1,28.4,10.7,female,22
Italy,79.6,13.2,36.3,20.9,female,22
Cyprus,21.2,0,38.1,15.4,female,22
Latvia,97.6,32.9,47.4,31.7,female,22
Lithuania,87.6,14.1,33.5,12.0,female,22
Luxembourg,95.5,16.6,74.7,49.6,female,22
Hungary,97.4,39.5,49.6,30.1,female,22
Malta,79.5,4.9,56.2,14.3,female,22
Austria,87.4,19.5,81.1,51.4,female,22
Poland,89.8,28.1,37.2,13.4,female,22
Portugal,76.2,2.0,37.4,17.2,female,22
Romania,99.7,13.1,9.4,0.9,female,22
Slovenia,92.7,43.7,80.6,55.6,female,22
Slovakia,96.6,39.3,56.3,25.6,female,22
